Years ,2024,2025,2026,2027,2028,2029,2030,,,,,ROCE,50%,,,,,,,,,,,,,Initial selling price,0.96,,,,,,,,,,Target ROCE,,50%,,Buisness link,2%,,,,,,
Qtes,0,600,600,600,600,600,0,,,,,Cash Generation,0%,Target ROCE,,,,,,,,,,,,Price decrease to come,0.00, ,,,,,,,,,,,,,,,,,,,,
Productivity ,0%,0%,0%,0%,0%,0%,0%,,,,,VAN,-0.00  ,50%,,,,,,,,,,,,Material Cost ,0.46,,,0%,,,,,,,Company taxes,,30%,,,,,,,,,
Part price impacted by productivity,1.161,1.161,1.161,1.161,1.161,1.161,1.16,,,,,,KRMB,,,,,,,,,,,,, ,,,,,,,,,,,Fianncial cost ,,0%,of sales,,,,,,,,
Packaging and transportation,0.109,0.109,0.109,0.109,0.109,0.109,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indexed material ,0.282,0.282,0.282,0.282,0.282,0.282,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales price,1.552,1.552,1.552,1.552,1.552,1.552,1.552,,2024,2025,2026,2027,2028,2029,,,,,,,,,,,,Material ,0.46,,,,,,,,,,,,,,,,,,,,,
Amortization during 3 years at 12% interest rate,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales (k1),0,931,931,931,931,931,0,,,,,,,,,,,,,,,,,,,Packaging ,0.023,,,,,,,,,,Management fees ,,6%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Direct labor ,0.08,,,,,,,,,,FOH /DC,,70%,,,,,,,,,
RM including supplier productivity ,0,276,273,270,270,270,0,,,,,,,,,,,,,,,,,,,VOH,0.10,,,,,,,,,,,,,,,,,14,15,16,17,
Packaging,0.0,14.1,14.1,14.1,14.1,14.1,0.0,,,,,,,,,,,,,,,,,,,Inbound transportation & Fees,0.01,,,,,,,,,,Safety on volumes,,20%,,,,,,,,,
